Material,Descripción Armado,Valor,Código
3000000,Camas por Pallet 1,0,ZCPP1
3000000,Camas por Pallet 2,0,ZCPP2
3000000,Camas por Pallet 3,0,ZCPP3
3000000,Camas por Pallet 4,0,ZCPP4
3000000,Camas por Pallet 5,0,ZCPP5
3000000,Camas por Pallet 6,0,ZCPP6
3000000,Camas por Pallet 7,0,ZCPP7
3000000,Camas por Pallet 8,0,ZCPP8
3000000,Camas por Pallet 9,0,ZCPP9
3000000,Cajas por Cama 1_1,0,ZCPC1_1
3000000,Cajas por Cama 1_2,0,ZCPC1_2
3000000,Cajas por Cama 1_3,0,ZCPC1_3
3000000,Cajas por Cama 1_4,0,ZCPC1_4
3000000,Cajas por Cama 1_5,0,ZCPC1_5
3000000,Cajas por Cama 1_6,0,ZCPC1_6
3000000,Cajas por Cama 1_7,0,ZCPC1_7
3000000,Cajas por Cama 1_8,0,ZCPC1_8
3000000,Cajas por Cama 1_9,0,ZCPC1_9
3000000,Cajas por Cama 2_1,0,ZCPC2_1
3000000,Cajas por Cama 2_2,0,ZCPC2_2
3000000,Cajas por Cama 2_3,0,ZCPC2_3
3000000,Cajas por Cama 2_4,0,ZCPC2_4
3000000,Cajas por Cama 2_5,0,ZCPC2_5
3000000,Cajas por Cama 2_6,0,ZCPC2_6
3000000,Cajas por Cama 2_7,0,ZCPC2_7
3000000,Cajas por Cama 2_8,0,ZCPC2_8
3000000,Cajas por Cama 2_9,0,ZCPC2_9
3000000,Cajas por Cama 3_1,0,ZCPC3_1
3000000,Cajas por Cama 3_2,0,ZCPC3_2
3000000,Cajas por Cama 3_3,0,ZCPC3_3
3000000,Cajas por Cama 3_4,0,ZCPC3_4
3000000,Cajas por Cama 3_5,0,ZCPC3_5
3000000,Cajas por Cama 3_6,0,ZCPC3_6
3000000,Cajas por Cama 3_7,0,ZCPC3_7
3000000,Cajas por Cama 3_8,0,ZCPC3_8
3000000,Cajas por Cama 3_9,0,ZCPC3_9
3000000,Cajas por Cama 4_1,0,ZCPC4_1
3000000,Cajas por Cama 4_2,0,ZCPC4_2
3000000,Cajas por Cama 4_3,0,ZCPC4_3
3000000,Cajas por Cama 4_4,0,ZCPC4_4
3000000,Cajas por Cama 4_5,0,ZCPC4_5
3000000,Cajas por Cama 4_6,0,ZCPC4_6
3000000,Cajas por Cama 4_7,0,ZCPC4_7
3000000,Cajas por Cama 4_8,0,ZCPC4_8
3000000,Cajas por Cama 4_9,0,ZCPC4_9
3000000,Cajas por Cama 5_1,0,ZCPC5_1
3000000,Cajas por Cama 5_2,0,ZCPC5_2
3000000,Cajas por Cama 5_3,0,ZCPC5_3
3000000,Cajas por Cama 5_4,0,ZCPC5_4
3000000,Cajas por Cama 5_5,0,ZCPC5_5
3000000,Cajas por Cama 5_6,0,ZCPC5_6
3000000,Cajas por Cama 5_7,0,ZCPC5_7
3000000,Cajas por Cama 5_8,0,ZCPC5_8
3000000,Cajas por Cama 5_9,0,ZCPC5_9
3000000,Cajas por Cama 6_1,0,ZCPC6_1
3000000,Cajas por Cama 6_2,0,ZCPC6_2
3000000,Cajas por Cama 6_3,0,ZCPC6_3
3000000,Cajas por Cama 6_4,0,ZCPC6_4
3000000,Cajas por Cama 6_5,0,ZCPC6_5
3000000,Cajas por Cama 6_6,0,ZCPC6_6
3000000,Cajas por Cama 6_7,0,ZCPC6_7
3000000,Cajas por Cama 6_8,0,ZCPC6_8
3000000,Cajas por Cama 6_9,0,ZCPC6_9
3000000,Cajas por Cama 7_1,0,ZCPC7_1
3000000,Cajas por Cama 7_2,0,ZCPC7_2
3000000,Cajas por Cama 7_3,0,ZCPC7_3
3000000,Cajas por Cama 7_4,0,ZCPC7_4
3000000,Cajas por Cama 7_5,0,ZCPC7_5
3000000,Cajas por Cama 7_6,0,ZCPC7_6
3000000,Cajas por Cama 7_7,0,ZCPC7_7
3000000,Cajas por Cama 7_8,0,ZCPC7_8
3000000,Cajas por Cama 7_9,0,ZCPC7_9
3000000,Cajas por Cama 8_1,0,ZCPC8_1
3000000,Cajas por Cama 8_2,0,ZCPC8_2
3000000,Cajas por Cama 8_3,0,ZCPC8_3
3000000,Cajas por Cama 8_4,0,ZCPC8_4
3000000,Cajas por Cama 8_5,0,ZCPC8_5
3000000,Cajas por Cama 8_6,0,ZCPC8_6
3000000,Cajas por Cama 8_7,0,ZCPC8_7
3000000,Cajas por Cama 8_8,0,ZCPC8_8
3000000,Cajas por Cama 8_9,0,ZCPC8_9
3000000,Cajas por Cama 9_1,0,ZCPC9_1
3000000,Cajas por Cama 9_2,0,ZCPC9_2
3000000,Cajas por Cama 9_3,0,ZCPC9_3
3000000,Cajas por Cama 9_4,0,ZCPC9_4
3000000,Cajas por Cama 9_5,0,ZCPC9_5
3000000,Cajas por Cama 9_6,0,ZCPC9_6
3000000,Cajas por Cama 9_7,0,ZCPC9_7
3000000,Cajas por Cama 9_8,0,ZCPC9_8
3000000,Cajas por Cama 9_9,0,ZCPC9_9
3000000,Piezas por Caja 1,0,ZPPC1
3000000,Piezas por Caja 2,0,ZPPC2
3000000,Piezas por Caja 3,0,ZPPC3
3000000,Piezas por Caja 4,0,ZPPC4
3000000,Piezas por Caja 5,0,ZPPC5
3000000,Piezas por Caja 6,0,ZPPC6
3000000,Piezas por Caja 7,0,ZPPC7
3000000,Piezas por Caja 8,0,ZPPC8
3000000,Piezas por Caja 9,0,ZPPC9
